"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"F","2020","01-08-2020","Floating Top Sport","22","Floating Top Athlete","999","Floating Top Country","33","44","55"
"U","2008","24/08/2008","Swimming","8","Michael Phelps","23","United States","0","0","8"
"U","2004","29/08/2004","Swimming","6","Michael Phelps","19","United States","0","2","8"
"U","2012","12/08/2012","Swimming","4","Michael Phelps","27","United States","2","0","6"
"U","2008","24/08/2008","Swimming","1","Natalie Coughlin","25","United States","2","3","6"
"R","2000","01/10/2000","Gymnastics","2","Aleksey Nemov","24","Russia","1","3","6"
"A","2012","12/08/2012","Swimming","1","Alicia Coutts","24","Australia","3","1","5"
"U","2012","12/08/2012","Swimming","4","Missy Franklin","17","United States","0","1","5"
"U","2012","12/08/2012","Swimming","2","Ryan Lochte","27","United States","2","1","5"
"U","2012","12/08/2012","Swimming","3","Allison Schmitt","22","United States","1","1","5"
"U","2004","29/08/2004","Swimming","2","Natalie Coughlin","21","United States","2","1","5"
"A","2000","01/10/2000","Swimming","3","Ian Thorpe","17","Australia","2","0","5"
"U","2000","01/10/2000","Swimming","2","Dara Torres","33","United States","0","3","5"
"C","2006","26/02/2006","Speed Skating","1","Cindy Klassen","26","Canada","2","2","5"
"U","2008","24/08/2008","Gymnastics","1","Nastia Liukin","18","United States","3","1","5"
"N","2010","28/02/2010","Cross Country Skiing","3","Marit Bjørgen","29","Norway","1","1","5"
"C","2012","12/08/2012","Swimming","2","Sun Yang","20","China","1","1","4"
"Z","2008","24/08/2008","Swimming","1","Kirsty Coventry","24","Zimbabwe","3","0","4"
"A","2008","24/08/2008","Swimming","2","Libby Lenton-Trickett","23","Australia","1","1","4"
"U","2008","24/08/2008","Swimming","2","Ryan Lochte","24","United States","0","2","4"
"N","2004","29/08/2004","Swimming","1","Inge de Bruijn","30","Netherlands","1","2","4"
"A","2004","29/08/2004","Swimming","3","Petria Thomas","28","Australia","1","0","4"
"A","2004","29/08/2004","Swimming","2","Ian Thorpe","21","Australia","1","1","4"
"N","2000","01/10/2000","Swimming","3","Inge de Bruijn","27","Netherlands","1","0","4"
"U","2000","01/10/2000","Swimming","2","Gary Hall Jr.","25","United States","1","1","4"
"A","2000","01/10/2000","Swimming","2","Michael Klim","23","Australia","2","0","4"
"A","2000","01/10/2000","Swimming","1","Susie O'Neill","27","Australia","3","0","4"
"U","2000","01/10/2000","Swimming","3","Jenny Thompson","27","United States","0","1","4"
"N","2000","01/10/2000","Swimming","2","Pieter van den Hoogenband","22","Netherlands","0","2","4"
"S","2006","26/02/2006","Short-Track Speed Skating","3","An Hyeon-Su","20","South Korea","0","1","4"
"R","2012","12/08/2012","Gymnastics","1","Aliya Mustafina","17","Russia","1","2","4"
"U","2008","24/08/2008","Gymnastics","1","Shawn Johnson","16","United States","3","0","4"
"R","2000","01/10/2000","Diving","1","Dmitry Sautin","26","Russia","1","2","4"
"N","2000","01/10/2000","Cycling","3","Leontien Zijlaard-van Moorsel","30","Netherlands","1","0","4"
"N","2010","28/02/2010","Cross Country Skiing","2","Petter Northug Jr.","24","Norway","1","1","4"
"N","2002","24/02/2002","Biathlon","4","Ole Einar Bjørndalen","28","Norway","0","0","4"
"C","2002","24/02/2002","Alpine Skiing","3","Janica Kostelic","20","Croatia","1","0","4"
"U","2012","12/08/2012","Swimming","2","Nathan Adrian","23","United States","1","0","3"
"F","2012","12/08/2012","Swimming","2","Yannick Agnel","20","France","1","0","3"
"A","2012","12/08/2012","Swimming","1","Brittany Elmslie","18","Australia","2","0","3"
"U","2012","12/08/2012","Swimming","2","Matt Grevers","27","United States","1","0","3"
"J","2012","12/08/2012","Swimming","0","Ryosuke Irie","22","Japan","2","1","3"
"U","2012","12/08/2012","Swimming","1","Cullen Jones","28","United States","2","0","3"
"N","2012","12/08/2012","Swimming","2","Ranomi Kromowidjojo","21","Netherlands","1","0","3"
"F","2012","12/08/2012","Swimming","1","Camille Muffat","22","France","1","1","3"
"A","2012","12/08/2012","Swimming","1","Mel Schlanger","25","Australia","2","0","3"
"A","2012","12/08/2012","Swimming","1","Emily Seebohm","20","Australia","2","0","3"
"U","2012","12/08/2012","Swimming","2","Rebecca Soni","25","United States","1","0","3"
"J","2012","12/08/2012","Swimming","0","Satomi Suzuki","21","Japan","1","2","3"
"U","2012","12/08/2012","Swimming","3","Dana Vollmer","24","United States","0","0","3"
"F","2008","24/08/2008","Swimming","1","Alain Bernard","25","France","1","1","3"
"H","2008","24/08/2008","Swimming","0","László Cseh Jr.","22","Hungary","3","0","3"
"U","2008","24/08/2008","Swimming","2","Matt Grevers","23","United States","1","0","3"
"U","2008","24/08/2008","Swimming","0","Margaret Hoelzer","25","United States","2","1","3"
"U","2008","24/08/2008","Swimming","0","Katie Hoff","19","United States","1","2","3"
"A","2008","24/08/2008","Swimming","2","Leisel Jones","22","Australia","1","0","3"
"J","2008","24/08/2008","Swimming","2","Kosuke Kitajima","25","Japan","0","1","3"
"A","2008","24/08/2008","Swimming","0","Andrew Lauterstein","21","Australia","1","2","3"
"U","2008","24/08/2008","Swimming","2","Jason Lezak","32","United States","0","1","3"
"C","2008","24/08/2008","Swimming","0","Pang Jiaying","23","China","1","2","3"
"U","2008","24/08/2008","Swimming","2","Aaron Peirsol","25","United States","1","0","3"
"A","2008","24/08/2008","Swimming","3","Steph Rice","20","Australia","0","0","3"
"A","2008","24/08/2008","Swimming","1","Jess Schipper","21","Australia","0","2","3"
"U","2008","24/08/2008","Swimming","1","Rebecca Soni","21","United States","2","0","3"
"A","2008","24/08/2008","Swimming","0","Eamon Sullivan","22","Australia","2","1","3"
"U","2008","24/08/2008","Swimming","0","Dara Torres","41","United States","3","0","3"
"U","2004","29/08/2004","Swimming","1","Amanda Beard","22","United States","2","0","3"
"G","2004","29/08/2004","Swimming","0","Antje Buschschulte","25","Germany","0","3","3"
"Z","2004","29/08/2004","Swimming","1","Kirsty Coventry","20","Zimbabwe","1","1","3"
"U","2004","29/08/2004","Swimming","1","Ian Crocker","21","United States","1","1","3"
"A","2004","29/08/2004","Swimming","1","Grant Hackett","24","Australia","2","0","3"
"U","2004","29/08/2004","Swimming","1","Brendan Hansen","22","United States","1","1","3"
"A","2004","29/08/2004","Swimming","3","Jodie Henry","20","Australia","0","0","3"
"P","2004","29/08/2004","Swimming","1","Otylia Jedrzejczak","20","Poland","2","0","3"
"A","2004","29/08/2004","Swimming","1","Leisel Jones","18","Australia","1","1","3"
"J","2004","29/08/2004","Swimming","2","Kosuke Kitajima","21","Japan","0","1","3"
"F","2004","29/08/2004","Swimming","1","Laure Manaudou","17","France","1","1","3"
"U","2004","29/08/2004","Swimming","3","Aaron Peirsol","21","United States","0","0","3"
"U","2004","29/08/2004","Swimming","1","Kaitlin Sandeno","21","United States","1","1","3"
"S","2004","29/08/2004","Swimming","1","Roland Schoeman","24","South Africa","1","1","3"
"N","2004","29/08/2004","Swimming","1","Pieter van den Hoogenband","26","Netherlands","2","0","3"
"S","2000","01/10/2000","Swimming","0","Therese Alshammar","23","Sweden","2","1","3"
"U","2000","01/10/2000","Swimming","2","Yana Klochkova","18","Ukraine","1","0","3"
"U","2000","01/10/2000","Swimming","3","Lenny Krayzelburg","24","United States","0","0","3"
"I","2000","01/10/2000","Swimming","1","Massimiliano Rosolino","22","Italy","1","1","3"
"A","2000","01/10/2000","Swimming","0","Petria Thomas","25","Australia","2","1","3"
"A","2000","01/10/2000","Swimming","0","Matt Welsh","23","Australia","2","1","3"
"S","2010","28/02/2010","Short-Track Speed Skating","2","Lee Jeong-Su","20","South Korea","1","0","3"
"U","2010","28/02/2010","Short-Track Speed Skating","0","Apolo Anton Ohno","27","United States","1","2","3"
"C","2010","28/02/2010","Short-Track Speed Skating","3","Wang Meng","24","China","0","0","3"
"S","2006","26/02/2006","Short-Track Speed Skating","3","Jin Seon-Yu","17","South Korea","0","0","3"
"S","2006","26/02/2006","Short-Track Speed Skating","1","Lee Ho-Seok","19","South Korea","2","0","3"
"U","2006","26/02/2006","Short-Track Speed Skating","1","Apolo Anton Ohno","23","United States","0","2","3"
"C","2006","26/02/2006","Short-Track Speed Skating","1","Wang Meng","20","China","1","1","3"
"C","2002","24/02/2002","Short-Track Speed Skating","2","Marc Gagnon","26","Canada","0","1","3"
"C","2002","24/02/2002","Short-Track Speed Skating","2","Yang Yang (A)","25","China","1","0","3"
"G","2010","28/02/2010","Speed Skating","1","Stephanie Beckert","21","Germany","2","0","3"
"C","2010","28/02/2010","Speed Skating","2","Martina Sáblíková","22","Czech Republic","0","1","3"
"I","2006","26/02/2006","Speed Skating","2","Enrico Fabris","24","Italy","0","1","3"
"U","2006","26/02/2006","Speed Skating","1","Chad Hedrick","28","United States","1","1","3"
"N","2002","24/02/2002","Speed Skating","2","Jochem Uytdehaage","25","Netherlands","1","0","3"
"G","2002","24/02/2002","Speed Skating","0","Sabine Völker","28","Germany","2","1","3"
"A","2010","28/02/2010","Ski Jumping","1","Gregor Schlierenzauer","20","Austria","0","2","3"
"N","2006","26/02/2006","Ski Jumping","1","Lars Bystøl","27","Norway","0","2","3"
"U","2010","28/02/2010","Nordic Combined","0","Johnny Spillane","29","United States","3","0","3"
